"","1. open","2. high","3. low","4. close","5. adjusted close","6. volume","7. dividend amount","8. split coefficient"
"2003-02-20",184.79,184.79,184.79,184.79,184.79,0,0,1
"2003-02-21",186.06,186.06,186.06,186.06,186.06,0,0,1
"2003-02-24",184.18,184.18,184.18,184.18,184.18,0,0,1
"2003-02-25",178.96,178.96,178.96,178.96,178.96,0,0,1
"2003-02-26",177.4,177.4,177.4,177.4,177.4,0,0,1
"2003-02-27",178.84,178.84,178.84,178.84,178.84,0,0,1
"2003-02-28",181.75,181.75,181.75,181.75,181.75,0,0,1
"2003-03-03",182.08,182.08,182.08,182.08,182.08,0,0,1
"2003-03-04",178.5,178.5,178.5,178.5,178.5,0,0,1
"2003-03-05",176.85,176.85,176.85,176.85,176.85,0,0,1
"2003-03-06",175.27,175.27,175.27,175.27,175.27,0,0,1
"2003-03-07",171.77,171.77,171.77,171.77,171.77,0,0,1
"2003-03-10",167.86,167.86,167.86,167.86,167.86,0,0,1
"2003-03-11",168,168,168,168,168,0,0,1
"2003-03-12",162.59,162.59,162.59,162.59,162.59,0,0,1
"2003-03-13",171.96,171.96,171.96,171.96,171.96,0,0,1
"2003-03-14",178.72,178.72,178.72,178.72,178.72,0,0,1
"2003-03-17",184.29,184.29,184.29,184.29,184.29,0,0,1
"2003-03-18",184.94,184.94,184.94,184.94,184.94,0,0,1
"2003-03-19",187.26,187.26,187.26,187.26,187.26,0,0,1
"2003-03-20",186.35,186.35,186.35,186.35,186.35,0,0,1
"2003-03-21",192.45,192.45,192.45,192.45,192.45,0,0,1
"2003-03-24",184.47,184.47,184.47,184.47,184.47,0,0,1
